,PanCK,CD3,CD4,CD8,CD20,CD68,PD1,PDL1,FOXP3,Ki67,SMA,CD31,VIM,CD45
cell_00817,2,4,3,5,4,4,0,5,6,5,3,7,5,3
cell_00818,4,3,3,1,1,2,0,9,4,3,2,6,5,3
cell_00819,3,4,6,1,0,1,0,7,7,3,0,9,2,1
cell_00820,0,4,7,5,0,1,0,5,5,1,1,7,2,4
cell_00821,1,8,4,6,1,0,1,6,4,5,1,7,5,3
cell_00822,4,7,3,7,1,0,1,8,9,2,1,4,5,2
cell_00823,3,4,7,2,0,0,0,8,2,1,0,2,3,1
cell_00824,4,6,6,3,2,1,0,4,1,2,0,3,5,1
cell_00825,2,8,2,3,2,0,1,5,6,5,1,6,8,3
cell_00826,4,11,5,1,1,1,1,5,2,3,1,3,6,3
cell_00827,2,3,3,4,1,1,1,7,4,2,0,4,1,1
cell_00828,3,6,5,3,1,1,0,5,4,7,0,2,7,2
cell_00829,1,4,6,9,3,1,0,5,2,3,1,3,14,0
cell_00830,3,11,3,3,1,5,1,5,7,7,0,7,3,0
cell_00831,5,10,2,1,2,1,2,3,6,4,1,4,10,2
cell_00832,3,7,4,3,1,2,2,6,3,6,1,9,2,3
cell_00833,6,3,1,13,4,2,1,4,6,7,0,5,6,0
cell_00834,1,1,2,3,4,2,0,6,4,5,1,3,5,3
cell_00835,6,8,4,2,1,1,0,4,1,7,1,5,7,2
cell_00836,0,10,6,6,0,2,1,4,1,2,0,7,5,2
cell_00837,3,7,5,4,2,2,2,1,6,4,3,7,3,2
cell_00838,4,2,4,6,5,1,1,6,4,4,2,9,4,0
cell_00839,3,4,4,1,0,2,2,7,4,5,3,3,8,2
cell_00840,4,5,3,8,1,3,2,5,4,4,1,8,4,0
cell_00841,2,7,2,2,2,2,3,3,3,3,0,8,13,0
cell_00842,1,7,6,2,1,0,1,4,0,5,0,5,4,0
cell_00843,4,5,7,4,0,1,3,6,2,4,3,4,9,6
cell_00844,1,9,6,4,1,0,2,7,6,5,3,3,4,3
cell_00845,6,7,7,5,3,1,1,6,2,7,2,2,4,2
cell_00846,3,10,8,2,1,2,1,7,6,3,1,3,4,2
cell_00847,0,3,6,4,0,0,0,3,5,9,0,5,8,4
cell_00848,2,11,1,4,3,2,1,5,3,2,1,5,2,1
cell_00849,0,3,5,5,2,2,2,8,3,4,0,3,6,1
cell_00850,2,2,3,5,0,1,1,5,5,8,2,7,4,1
cell_00851,3,3,4,3,2,2,0,5,2,3,1,8,4,1
cell_00852,4,10,7,7,0,1,0,11,1,5,0,2,6,3
cell_00853,1,4,5,3,2,2,2,4,1,2,1,2,9,3
cell_00854,1,5,5,3,2,3,2,6,9,7,2,3,7,2
cell_00855,0,5,1,4,0,0,4,4,6,2,0,2,1,2
cell_00856,0,4,5,2,0,1,1,5,4,4,0,5,10,2
cell_00857,2,5,7,6,2,1,0,3,2,2,0,5,6,1
cell_00858,3,9,9,3,0,3,0,3,2,5,0,7,8,1
cell_00859,0,7,8,5,3,2,1,7,5,3,1,6,5,0
cell_00860,7,8,4,5,0,1,0,3,3,5,2,7,5,0
cell_00861,3,6,5,4,0,1,1,8,1,6,1,5,2,1
cell_00862,1,8,1,4,1,3,2,7,3,2,0,6,5,1
cell_00863,3,5,9,6,1,0,0,4,5,5,1,11,3,1
cell_00864,0,5,5,2,0,1,3,6,8,2,0,8,8,0
cell_00865,1,7,8,5,1,2,1,6,4,5,0,5,6,0
cell_00866,3,4,6,1,1,1,0,7,7,3,3,6,7,2
cell_00867,4,4,5,3,0,0,1,7,4,3,1,3,4,2
cell_00868,6,5,2,1,2,4,0,6,5,3,0,5,2,3
cell_00869,1,3,6,3,2,2,1,6,1,2,1,4,5,3
cell_00870,3,1,3,3,0,1,1,8,6,6,1,6,5,2
cell_00871,4,4,5,3,2,3,1,4,2,10,0,7,8,2
cell_00872,2,5,1,6,2,1,2,2,5,9,0,5,9,2
cell_00873,3,5,6,3,0,1,0,7,5,3,0,2,7,0
cell_00874,4,6,4,2,2,3,1,4,4,4,0,9,8,0
cell_00875,4,4,3,3,2,1,1,8,3,3,1,4,6,0
cell_00876,0,4,4,4,2,1,1,6,5,3,2,3,7,0
cell_00877,0,11,4,0,4,1,0,6,5,8,0,3,8,3
cell_00878,0,10,6,0,1,2,1,6,4,3,2,5,1,0
cell_00879,4,6,4,3,0,4,2,2,2,2,0,4,8,2
cell_00880,1,6,3,4,2,3,2,5,6,2,0,8,3,2
cell_00881,2,2,5,4,2,1,0,6,3,4,0,6,2,3
cell_00882,2,7,8,2,2,1,0,10,0,8,1,8,3,2
cell_00883,1,6,5,4,0,2,0,6,4,2,1,3,4,1
cell_00884,1,9,10,2,2,2,0,3,3,2,2,5,7,2
cell_00885,4,6,4,1,3,1,0,5,3,4,1,3,2,1
cell_00886,3,9,8,4,2,0,0,5,5,6,0,9,8,0
cell_00887,3,9,8,3,1,1,2,7,3,6,0,13,5,2
cell_00888,4,11,3,4,1,2,2,5,6,7,0,2,4,1
cell_00889,2,2,4,4,1,1,2,6,4,5,0,5,5,2
cell_00890,7,10,6,2,0,0,2,9,1,2,0,5,7,0
cell_00891,1,5,4,2,2,1,0,4,2,1,0,10,4,2
cell_00892,2,8,1,6,3,2,2,10,1,6,0,9,4,3
cell_00893,6,8,4,5,0,3,1,4,2,5,0,6,4,4
cell_00894,3,7,5,1,1,2,0,4,0,6,0,7,2,4
cell_00895,4,8,2,4,1,0,0,5,4,3,0,5,7,1
cell_00896,3,8,5,3,2,1,1,3,4,6,0,5,5,1
cell_00897,4,7,6,4,1,0,2,3,3,6,1,8,6,1
cell_00898,3,2,2,3,3,2,0,4,4,4,1,10,2,1
cell_00899,2,2,8,0,0,2,2,4,5,6,0,5,7,2
cell_00900,3,3,2,4,1,1,0,7,0,1,3,10,7,1
cell_00901,5,3,4,4,1,3,1,7,5,5,0,9,3,5
cell_00902,2,4,5,3,1,3,0,6,7,10,0,7,7,1
cell_00903,2,6,5,4,1,2,1,8,1,5,0,10,10,1
cell_00904,3,6,3,2,0,1,0,4,5,7,1,9,5,3
cell_00905,5,7,5,0,2,0,0,4,4,6,0,3,6,1
cell_00906,1,9,5,0,2,4,3,7,4,6,1,4,4,3
cell_00907,4,4,7,3,2,1,1,5,1,4,1,7,5,1
cell_00908,2,7,5,8,1,4,2,7,3,4,0,1,5,4
cell_00909,5,7,7,4,0,3,0,6,2,5,0,6,4,3
cell_00910,1,3,3,5,0,0,2,4,6,5,1,5,5,0
cell_00911,2,6,9,6,1,0,2,10,2,5,0,6,6,1
cell_00912,2,5,0,3,0,3,3,5,5,2,1,5,5,2
cell_00913,0,7,1,4,2,2,2,3,2,3,0,6,8,4
cell_00914,1,3,4,5,2,2,0,6,5,1,0,3,8,1
cell_00915,1,4,6,5,0,1,2,4,2,3,2,5,5,2
cell_00916,1,6,5,2,0,0,2,2,3,5,0,6,5,4
cell_00917,1,9,4,6,3,4,0,7,0,1,0,6,4,3
cell_00918,3,5,4,6,2,1,0,6,4,13,1,7,9,4
cell_00919,4,10,6,5,2,0,1,2,3,4,2,5,7,0
cell_00920,3,2,6,4,2,1,2,6,2,7,1,5,3,2
cell_00921,1,5,5,2,1,0,3,5,5,3,2,3,4,2
cell_00922,4,5,3,6,3,2,1,5,3,4,0,4,6,3
cell_00923,1,4,10,5,1,0,0,3,2,9,0,4,6,2
cell_00924,3,1,2,5,1,0,3,4,3,7,1,4,3,1
cell_00925,3,5,8,7,0,2,0,3,6,3,2,4,3,3
cell_00926,3,6,3,3,3,3,1,11,4,5,1,9,5,4
cell_00927,2,6,7,6,3,1,1,3,5,2,1,8,5,2
cell_00928,1,2,9,1,1,2,1,2,6,4,0,3,7,2
cell_00929,1,9,4,6,1,1,0,2,2,4,2,5,5,2
cell_00930,2,6,8,2,0,2,0,8,3,6,0,10,7,0
cell_00931,2,8,8,2,3,2,2,5,5,7,0,3,2,1
cell_00932,4,8,10,4,2,4,1,6,2,1,0,6,4,2
cell_00933,0,4,3,7,0,1,0,2,6,5,0,5,6,3
cell_00934,2,5,4,5,0,0,0,10,3,2,1,3,2,3
cell_00935,5,7,4,2,1,3,0,6,5,7,0,2,3,1
cell_00936,2,9,4,4,2,4,0,6,7,4,0,7,5,0
cell_00937,4,4,8,4,2,0,0,4,4,7,0,3,6,2
cell_00938,1,7,2,4,0,1,2,3,2,1,0,2,2,1
cell_00939,3,9,3,5,2,1,0,6,3,6,1,3,6,2
cell_00940,3,5,6,7,0,1,2,9,2,6,0,4,2,0
cell_00941,6,6,7,6,0,1,1,5,5,4,0,7,3,6
cell_00942,3,4,7,6,5,0,1,9,3,4,0,3,6,1
cell_00943,1,8,2,4,1,0,1,5,4,3,0,8,7,1
cell_00944,3,5,2,4,1,0,0,2,3,3,2,9,7,0
cell_00945,3,5,3,3,0,1,0,9,2,3,2,12,7,3
cell_00946,2,4,3,4,1,0,2,2,5,4,1,3,6,1
cell_00947,1,7,3,4,0,2,0,5,10,1,0,3,8,3
cell_00948,3,6,6,4,0,2,1,5,8,1,1,6,2,2
cell_00949,2,3,3,3,1,0,2,6,4,5,1,7,6,0
cell_00950,2,4,4,3,1,3,0,5,2,7,2,6,7,1
cell_00951,1,4,2,9,1,1,1,5,2,5,0,11,8,0
cell_00952,1,3,5,4,1,0,2,8,2,7,2,5,6,3
cell_00953,0,6,1,3,1,0,3,5,4,5,1,2,6,2
cell_00954,1,3,4,2,1,2,0,8,2,7,0,7,4,3
cell_00955,3,5,8,0,2,0,1,5,4,5,1,8,7,6
cell_00956,3,7,4,3,3,3,0,4,5,3,1,7,10,2
cell_00957,1,11,3,4,0,3,0,8,5,1,1,13,3,0
cell_00958,0,5,3,4,2,1,1,2,4,3,2,1,0,0
cell_00959,1,4,4,3,1,0,1,5,1,2,0,5,4,3
cell_00960,1,8,5,3,1,0,1,8,2,6,0,6,6,0
cell_00961,4,8,3,7,0,0,0,5,0,3,1,6,6,2
cell_00962,5,6,5,1,0,1,2,9,4,4,0,3,7,3
cell_00963,2,7,3,5,1,1,0,5,1,3,1,11,4,1
cell_00964,4,7,5,3,1,3,1,5,1,8,1,4,7,2
cell_00965,1,9,11,4,2,0,0,6,8,0,0,5,2,0
cell_00966,1,3,4,5,0,1,1,8,2,5,2,5,5,2
cell_00967,2,4,3,3,2,0,2,8,3,4,0,5,7,1
cell_00968,2,10,3,5,2,1,0,3,0,7,0,5,4,2
cell_00969,1,6,8,1,1,1,1,11,2,5,1,5,6,3
cell_00970,3,7,7,8,0,1,1,8,4,3,2,8,5,1
cell_00971,0,7,9,2,2,1,3,3,3,8,1,7,4,4
cell_00972,2,6,5,4,1,0,0,8,4,1,2,7,3,0
cell_00973,3,6,2,4,1,1,2,4,3,3,0,7,6,1
cell_00974,5,8,4,5,1,1,0,7,5,5,2,6,4,3
cell_00975,1,3,6,5,2,1,0,3,4,5,0,5,5,1
cell_00976,3,3,5,2,2,0,0,1,11,6,0,7,7,1
cell_00977,4,3,3,6,1,2,2,6,3,7,0,9,4,1
cell_00978,2,5,6,4,0,2,2,9,4,5,0,5,4,3
cell_00979,0,4,2,6,1,3,0,3,1,4,0,3,9,1
cell_00980,2,9,0,5,0,0,1,9,1,4,1,8,4,0
cell_00981,1,2,3,1,2,1,0,6,2,3,1,2,2,3
cell_00982,3,4,2,1,3,1,0,8,2,7,0,9,1,2
cell_00983,1,6,5,3,2,2,1,4,4,4,1,7,6,3
cell_00984,1,4,5,5,1,2,1,7,6,5,0,3,6,0
cell_00985,1,7,4,4,0,1,1,9,2,2,0,5,5,1
cell_00986,4,5,5,1,1,4,1,4,4,2,1,7,3,1
cell_00987,0,8,7,5,2,3,1,6,3,7,0,7,4,2
cell_00988,0,6,3,4,3,2,0,4,4,6,0,6,4,0
cell_00989,1,5,5,3,1,2,0,1,9,3,0,9,1,1
cell_00990,2,6,6,4,1,3,0,6,4,2,0,1,9,1
cell_00991,4,6,1,6,1,2,0,7,4,2,2,6,7,0
cell_00992,2,5,5,2,1,1,0,2,2,5,0,8,8,1
cell_00993,3,3,4,5,2,3,1,13,4,5,0,5,4,1
cell_00994,3,9,5,2,0,0,0,5,4,3,0,7,5,4
cell_00995,3,5,6,3,1,0,0,4,9,0,0,5,5,2
cell_00996,2,5,4,4,0,1,0,5,4,2,0,9,3,1
cell_00997,4,5,7,3,1,0,2,4,4,3,0,5,5,3
cell_00998,2,9,5,7,2,3,1,13,0,6,0,9,5,2
cell_00999,4,3,3,7,1,1,2,3,1,3,0,4,4,2
cell_01000,2,5,5,0,1,2,1,7,2,3,0,5,5,1
cell_01001,4,8,4,3,1,1,1,7,3,7,1,4,4,1
cell_01002,0,8,0,1,1,0,1,5,3,6,0,6,13,4
cell_01003,2,6,5,4,1,3,0,8,8,5,1,2,10,2
cell_01004,5,4,4,3,2,1,1,5,8,3,2,7,9,1
cell_01005,3,6,5,2,1,1,1,5,4,6,0,4,7,4
cell_01006,1,5,5,2,1,1,0,6,3,4,0,3,2,2
cell_01007,1,6,3,5,1,2,2,6,3,8,0,3,3,1
cell_01008,3,5,4,5,1,0,1,7,3,4,0,3,5,1
cell_01009,3,7,6,3,1,1,0,4,4,2,0,2,3,3
cell_01010,5,8,4,6,1,3,2,3,3,2,0,8,5,1
cell_01011,4,7,4,5,1,0,0,8,4,3,0,7,8,1
cell_01012,2,6,7,5,2,0,1,13,4,3,0,4,11,0
cell_01013,1,4,4,5,1,2,1,5,4,8,0,6,6,1
cell_01014,4,8,1,8,0,0,1,6,6,2,0,5,3,2
cell_01015,2,3,3,4,0,3,2,6,1,3,1,2,7,3
cell_01016,3,3,8,5,1,1,1,5,4,7,0,6,4,2
cell_01017,1,5,3,1,1,2,2,5,8,5,0,4,6,1
cell_01018,6,3,3,5,1,0,0,6,4,5,2,8,1,0
cell_01019,1,6,2,4,0,1,2,5,4,7,0,5,8,1
cell_01020,2,8,6,4,2,4,0,5,4,4,1,4,6,2
cell_01021,2,4,3,7,1,1,0,7,6,6,2,5,3,3
cell_01022,0,5,2,3,2,3,2,7,2,3,0,3,6,0
cell_01023,4,5,5,7,1,0,1,6,4,2,3,0,4,3
cell_01024,3,2,6,5,3,1,2,2,10,4,0,4,2,0
cell_01025,3,5,2,1,2,1,0,4,4,7,0,5,3,6
cell_01026,7,7,8,4,1,1,0,8,3,8,3,6,5,1
cell_01027,0,12,6,2,2,0,0,5,6,5,2,10,6,1
cell_01028,0,7,4,5,1,3,1,8,4,7,0,3,3,5
cell_01029,2,7,3,6,2,4,1,5,2,5,0,2,3,1
cell_01030,0,4,9,4,0,2,1,5,7,6,3,3,5,2
cell_01031,0,7,3,7,1,1,0,9,3,2,1,4,4,1
cell_01032,0,7,7,3,0,1,2,7,3,1,1,5,7,1
cell_01033,2,8,5,3,1,3,0,8,1,1,0,5,5,3
cell_01034,0,5,8,4,2,0,0,3,4,3,1,5,9,3
cell_01035,4,7,5,1,1,0,0,10,5,8,0,4,5,0
cell_01036,7,5,1,4,0,2,0,5,5,2,2,2,7,1
cell_01037,2,9,3,5,1,0,0,4,2,6,0,6,5,1
cell_01038,1,6,5,4,2,3,2,5,5,1,1,6,2,4
cell_01039,3,6,3,5,2,0,0,3,5,4,0,6,1,1
cell_01040,2,9,5,4,1,3,2,7,4,4,1,4,7,1
cell_01041,2,5,6,4,2,0,1,5,8,5,1,9,8,1
cell_01042,3,4,6,3,2,0,0,7,3,7,0,7,12,3
cell_01043,3,3,4,0,1,0,0,8,1,5,0,5,4,1
cell_01044,1,5,2,6,0,1,0,3,1,3,0,3,5,0
cell_01045,4,6,2,4,2,1,1,4,5,5,1,6,7,3
cell_01046,3,3,6,3,1,1,2,6,3,5,1,4,8,2
cell_01047,4,5,3,3,2,0,1,7,3,3,0,3,7,2
cell_01048,4,8,2,2,2,2,1,6,5,7,1,8,6,0
cell_01049,3,3,5,6,0,1,0,5,2,3,2,12,1,1
cell_01050,3,4,8,4,0,2,0,6,4,6,1,3,3,0
cell_01051,3,5,8,5,1,0,1,5,3,3,0,9,5,0
cell_01052,1,7,2,2,3,1,1,3,2,6,0,3,1,0
cell_01053,0,9,4,5,0,1,3,10,2,13,3,3,3,0
cell_01054,2,4,8,4,2,1,0,7,2,5,1,8,4,0
cell_01055,4,9,4,3,0,3,1,6,2,5,4,4,8,0
cell_01056,5,4,4,3,2,1,1,6,5,6,1,6,1,1
cell_01057,0,4,3,7,1,2,1,3,4,3,1,7,5,1
cell_01058,2,5,4,5,1,1,0,7,3,8,0,8,8,1
cell_01059,1,8,3,3,3,4,1,9,3,1,1,5,7,2
cell_01060,5,4,5,4,4,4,3,6,5,2,0,9,3,0
cell_01061,2,3,2,4,1,1,3,6,4,1,2,7,5,2
cell_01062,3,4,1,0,0,0,0,3,6,5,0,8,6,2
cell_01063,2,6,6,3,2,2,0,5,3,6,0,4,2,1
cell_01064,3,6,8,0,3,3,0,10,4,2,0,7,5,1
cell_01065,2,6,4,3,1,0,3,5,2,6,2,5,5,4
cell_01066,2,4,5,2,1,0,0,2,2,7,1,7,6,1
cell_01067,3,10,5,4,1,2,0,7,1,4,0,5,6,1
cell_01068,2,5,5,2,0,3,2,3,1,1,2,5,4,4
cell_01069,4,4,2,2,4,2,4,4,2,2,0,4,6,2
cell_01070,3,3,8,7,2,3,2,4,6,4,0,2,4,0
cell_01071,0,6,3,3,1,0,2,7,3,6,0,6,4,1
cell_01072,3,7,3,1,1,1,0,8,3,4,0,5,7,1
cell_01073,3,4,4,3,4,0,1,6,4,5,1,3,8,1
cell_01074,1,6,4,4,5,2,4,6,6,3,0,2,6,4
cell_01075,2,5,4,2,1,1,3,8,3,6,1,7,4,1
cell_01076,2,10,4,6,2,2,0,3,5,0,1,6,5,2
cell_01077,3,2,4,6,1,3,0,6,6,3,0,4,0,1
cell_01078,2,9,6,2,1,0,4,2,3,2,0,9,5,2
cell_01079,2,8,6,6,1,1,0,5,5,4,1,3,3,1
cell_01080,3,4,5,3,4,1,0,9,3,5,0,3,7,0
cell_01081,4,3,7,3,2,1,2,6,7,5,0,2,6,4
cell_01082,2,9,5,2,0,2,1,8,7,4,0,2,6,3
cell_01083,3,7,2,6,0,2,0,3,0,5,0,5,8,1
cell_01084,3,2,3,3,2,0,0,8,4,6,1,6,4,2
cell_01085,2,6,5,4,0,3,1,5,3,3,1,4,9,4
cell_01086,4,7,8,1,0,2,0,7,3,6,0,6,6,1
cell_01087,6,4,7,4,1,0,1,3,2,4,2,6,4,1
cell_01088,1,9,6,7,3,1,0,6,4,2,1,11,6,5
cell_01089,1,5,6,10,1,0,0,1,2,5,0,8,5,0
cell_01090,4,4,5,2,3,0,1,4,7,6,0,8,9,4
cell_01091,2,1,4,3,0,1,0,6,4,4,1,7,6,0
cell_01092,3,6,7,2,1,0,0,6,4,7,0,6,1,0
cell_01093,1,4,6,9,2,1,1,7,7,7,0,5,5,3
cell_01094,1,4,5,1,0,0,1,6,2,3,2,4,6,0
cell_01095,3,3,3,3,1,3,0,5,4,6,0,5,6,1
cell_01096,3,3,4,2,2,1,0,6,4,6,2,7,4,5
cell_01097,7,8,6,2,2,1,1,2,6,3,0,3,2,3
cell_01098,1,7,10,5,2,5,0,4,2,2,0,7,3,1
cell_01099,2,3,8,9,1,4,0,3,2,7,1,8,4,1
cell_01100,3,6,3,3,3,0,1,5,2,5,0,6,6,1
cell_01101,0,7,5,2,2,4,1,3,3,7,0,4,8,2
cell_01102,4,3,6,3,0,1,1,6,3,5,2,8,6,0
cell_01103,0,10,4,2,1,3,0,4,8,1,0,5,4,0
cell_01104,1,4,5,2,1,4,1,7,6,4,0,7,6,1
cell_01105,3,8,4,2,2,3,0,8,1,5,0,6,4,2
cell_01106,2,6,5,2,0,2,2,3,7,4,0,7,1,0
cell_01107,3,8,8,8,3,0,1,4,4,6,1,6,1,0
cell_01108,2,7,4,2,1,4,0,5,4,2,0,5,2,2
cell_01109,1,8,4,0,1,1,0,7,1,3,1,2,9,1
cell_01110,3,4,5,5,1,1,0,9,3,3,1,5,11,2
cell_01111,4,5,6,1,0,0,1,7,2,9,0,6,5,3
cell_01112,3,5,5,2,3,1,0,2,3,3,1,8,8,3
cell_01113,3,3,0,3,1,2,1,4,2,4,1,2,2,1
cell_01114,2,15,4,6,0,0,1,5,2,2,0,8,0,2
cell_01115,2,3,7,3,2,1,1,7,5,1,1,4,3,0
cell_01116,2,12,3,5,1,2,0,6,3,2,2,9,4,3
cell_01117,4,5,4,8,1,1,1,2,3,8,0,4,6,1
cell_01118,0,2,5,6,1,5,1,4,3,3,1,5,5,4
cell_01119,2,3,7,3,0,2,1,7,3,3,0,7,4,1
cell_01120,4,6,8,4,0,0,1,5,3,5,0,5,4,2
cell_01121,1,6,5,5,0,0,1,4,6,6,0,7,7,1
cell_01122,3,6,7,5,3,0,0,6,3,5,3,3,8,2
cell_01123,3,6,3,6,3,2,3,6,3,3,1,3,4,3
cell_01124,3,3,3,2,3,0,1,7,3,8,0,9,8,0
cell_01125,1,6,4,3,2,0,1,4,0,7,0,8,3,0
cell_01126,2,9,4,6,1,2,1,9,2,3,1,2,2,1
cell_01127,1,6,4,4,2,4,1,3,2,5,1,11,3,1
cell_01128,1,5,7,3,0,3,2,9,5,4,1,6,8,2
cell_01129,4,4,2,1,0,1,1,8,6,6,2,5,4,2
cell_01130,4,4,7,4,0,1,0,9,3,5,1,3,6,3
cell_01131,4,6,3,3,3,4,0,5,7,5,2,2,6,2
cell_01132,1,2,4,3,0,1,0,6,2,4,1,5,3,0
cell_01133,3,3,3,7,0,2,1,5,4,4,0,10,6,3
cell_01134,1,5,4,6,0,4,1,6,6,7,1,2,4,1
cell_01135,1,7,9,3,2,0,1,2,3,3,1,10,4,0
cell_01136,4,2,6,5,3,1,0,5,5,6,0,7,4,1
cell_01137,1,9,2,7,0,4,1,4,5,7,0,3,8,2
cell_01138,5,5,8,3,1,3,0,8,2,6,1,5,6,1
cell_01139,2,6,11,5,3,2,0,0,5,7,0,4,5,3
cell_01140,3,8,4,4,1,1,0,5,2,6,1,11,5,3
cell_01141,5,12,3,6,0,0,0,6,3,3,0,10,7,1
cell_01142,2,4,6,8,2,0,0,5,4,6,1,1,6,2
cell_01143,1,3,1,3,0,2,2,9,3,4,0,5,5,3
cell_01144,2,12,6,4,1,1,1,6,5,4,0,14,5,2
cell_01145,2,2,4,6,2,3,0,6,11,7,1,6,3,1
cell_01146,3,6,6,1,1,2,1,8,5,3,0,4,5,2
cell_01147,3,4,5,4,0,2,0,2,3,9,0,2,6,1
cell_01148,1,7,5,3,1,3,0,3,8,3,1,5,2,2
cell_01149,2,8,3,4,0,1,0,6,5,6,0,7,4,0
cell_01150,4,8,2,2,0,0,0,4,1,1,0,5,5,1
cell_01151,6,10,3,2,3,0,1,6,4,5,1,7,2,4
cell_01152,4,5,4,1,1,1,2,6,5,4,0,7,6,2
cell_01153,1,5,3,2,3,1,0,7,4,9,0,7,5,0
cell_01154,2,6,1,4,1,1,0,4,6,6,1,3,7,3
cell_01155,1,10,3,2,1,2,0,12,1,2,1,3,6,1
cell_01156,1,5,5,3,1,1,1,7,3,1,2,5,7,3
cell_01157,1,4,5,2,0,1,1,6,6,4,0,7,6,1
cell_01158,1,5,5,1,1,1,0,5,6,9,2,7,7,2
cell_01159,7,10,4,1,2,0,2,4,5,5,2,5,8,1
cell_01160,5,4,2,9,2,0,1,2,6,4,0,10,6,3
cell_01161,2,5,3,3,0,1,0,6,4,4,1,10,4,2
cell_01162,1,5,7,3,3,1,1,3,0,10,0,4,5,4
cell_01163,1,2,3,4,1,2,0,4,5,7,2,4,6,0
cell_01164,6,6,8,3,3,1,0,5,2,5,2,5,7,2
cell_01165,2,10,4,3,0,0,0,4,2,5,0,6,7,3
cell_01166,3,7,3,5,0,2,0,4,9,7,1,5,8,3
cell_01167,1,8,3,3,1,4,0,5,3,2,0,7,5,1
cell_01168,2,5,5,7,1,3,0,5,4,11,1,6,7,2
cell_01169,1,3,3,5,2,1,1,6,6,4,1,8,6,1
cell_01170,1,4,4,7,1,1,0,6,4,6,0,4,3,3
cell_01171,1,5,2,3,1,1,1,8,2,4,0,9,14,1
cell_01172,1,8,4,3,0,2,0,8,8,4,0,10,3,2
cell_01173,2,5,2,2,0,1,2,5,6,4,1,6,2,0
cell_01174,3,8,6,5,2,3,0,6,3,7,0,4,4,1
cell_01175,0,8,4,6,1,0,1,7,3,4,0,12,7,0
cell_01176,2,5,6,3,4,1,0,2,3,3,1,7,6,2
cell_01177,1,8,6,6,0,1,0,7,3,7,1,5,5,1
cell_01178,3,8,7,4,1,0,0,7,3,4,0,6,4,0
cell_01179,0,5,4,6,2,1,0,3,1,5,1,6,5,1
cell_01180,3,8,4,6,4,0,1,5,3,7,3,7,2,1
cell_01181,6,7,4,3,3,1,0,5,2,5,0,7,6,1
cell_01182,4,5,5,3,1,1,0,4,4,6,1,6,6,1
cell_01183,4,7,5,2,2,3,1,9,4,4,1,5,7,0
cell_01184,2,8,4,4,1,2,1,3,4,2,0,4,6,3
cell_01185,2,7,6,0,0,1,1,10,3,5,2,3,6,1
cell_01186,2,5,2,3,0,1,0,5,3,2,3,5,4,1
cell_01187,3,9,4,3,1,0,0,9,4,2,0,2,2,0
cell_01188,7,2,6,3,0,2,1,11,6,2,3,7,6,1
cell_01189,6,8,3,2,1,1,1,4,2,5,1,5,8,3
cell_01190,2,6,5,4,1,0,1,3,1,2,1,5,2,1
cell_01191,2,5,6,3,6,2,1,3,7,4,0,6,2,2
cell_01192,2,5,8,7,1,0,2,6,2,7,0,5,8,0
cell_01193,2,7,3,3,2,1,0,2,5,4,0,3,9,2
cell_01194,2,3,4,4,1,0,0,5,2,4,0,7,5,0
cell_01195,4,4,3,7,3,2,0,7,3,7,1,6,4,0
cell_01196,1,9,6,6,0,2,1,7,2,7,0,8,3,3
cell_01197,2,3,1,3,2,1,0,4,5,4,1,6,9,3
cell_01198,2,9,5,4,1,1,0,10,3,4,0,5,5,2
cell_01199,6,3,8,7,4,3,1,4,5,3,0,7,9,3
cell_01200,1,6,10,2,0,2,0,8,2,7,0,6,3,1
cell_01201,0,4,9,2,1,2,0,7,1,5,1,5,10,3
cell_01202,3,3,0,3,0,2,0,7,2,4,2,9,7,2
cell_01203,3,7,3,5,0,0,1,3,5,6,1,2,7,3
cell_01204,1,3,4,5,3,2,1,4,2,8,1,5,1,1
cell_01205,3,8,9,2,1,1,2,6,3,5,0,5,6,1
cell_01206,6,3,3,3,0,1,1,5,4,3,1,2,6,2
cell_01207,2,10,2,6,1,2,0,1,0,3,1,5,10,2
cell_01208,1,4,5,2,0,2,0,4,4,5,0,7,4,3
cell_01209,2,3,3,2,3,1,0,3,5,3,1,3,3,3
cell_01210,5,5,4,4,4,0,4,5,4,2,0,9,6,1
cell_01211,3,5,6,5,1,0,0,8,3,5,0,10,3,2
cell_01212,2,1,4,7,1,1,2,3,4,3,0,8,4,1
cell_01213,2,4,6,4,0,1,2,7,2,1,1,12,6,0
cell_01214,5,7,4,1,3,0,1,0,3,2,1,6,5,2
cell_01215,3,5,3,3,2,1,1,4,3,2,1,10,4,1
cell_01216,2,14,7,5,2,2,1,6,3,5,3,8,3,4
cell_01217,3,6,0,2,1,0,0,3,0,8,1,8,3,1
cell_01218,5,5,4,5,1,0,1,3,5,3,0,2,3,3
cell_01219,3,4,4,4,0,2,0,7,5,3,0,7,4,2
cell_01220,2,11,6,5,0,2,0,6,2,2,2,9,10,2
cell_01221,3,3,5,3,1,1,0,3,1,3,1,1,4,3
cell_01222,5,9,7,2,3,1,1,4,4,2,0,5,1,2
cell_01223,3,6,2,6,3,1,0,9,3,5,1,7,3,1
cell_01224,4,3,3,3,1,2,0,5,5,8,1,5,4,0
cell_01225,7,8,4,3,0,1,0,7,5,5,2,9,5,1
